India/States/Uts,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
India,74,72,71,72,70,68,66,63,60,58,58,57,55,53,50,47,44,42,40
Andhra Pradesh,67,65,63,66,66,65,66,62,59,59,57,56,54,52,49,46,43,41,39
Assam,77,74,76,76,76,75,74,70,67,66,68,67,66,64,61,58,55,55,54
Bihar,73,71,71,67,63,62,62,61,60,61,61,60,58,56,52,48,44,43,42
Chhattisgarh,,,89,94,78,79,77,73,70,60,63,61,59,57,54,51,48,47,46
Gujarat,62,61,62,64,63,62,60,60,57,53,54,53,52,50,48,44,41,38,36
Haryana,69,68,68,70,68,67,66,62,59,61,60,57,55,54,51,48,44,42,41
Jharkhand,,,68,62,71,70,62,51,51,49,50,49,48,46,44,42,39,38,37
Karnataka,62,53,53,58,58,57,58,55,52,49,50,48,47,45,41,38,35,32,31
Kerala,15,14,12,16,14,14,11,10,11,12,14,15,13,12,12,13,12,12,12
Madhya Pradesh,99,97,94,98,90,87,86,85,82,79,76,74,72,70,67,62,59,56,54
Maharashtra,55,48,47,49,48,48,45,45,42,36,36,35,34,33,31,28,25,25,24
Odisha,103,95,96,98,97,95,91,87,83,77,75,73,71,69,65,61,57,53,51
Punjab,54,51,51,54,53,52,52,51,49,45,44,44,43,41,38,34,30,28,26
Rajasthan,86,85,85,83,81,79,80,78,75,67,68,67,65,63,59,55,52,49,47
Tamil Nadu,54,53,53,53,52,51,49,44,43,41,37,37,35,31,28,24,22,21,21
Uttar Pradesh,86,85,85,85,84,83,83,80,76,72,73,71,69,67,63,61,57,53,50
West Bengal,58,55,55,53,52,51,51,49,46,40,38,38,37,35,33,31,32,32,31
Arunachal Pradesh,,,47,44,43,44,39,37,34,38,37,40,37,32,32,31,32,33,32
Delhi,,,35,36,31,32,29,30,28,32,35,37,36,35,33,30,28,25,24
Goa,,,19,23,21,23,19,17,16,17,16,15,13,10,11,10,11,10,9
Himachal Pradesh,63,63,63,68,54,51,43,61,42,51,49,50,47,44,45,40,38,36,35
Jammu & Kashmir,,,,45,52,50,48,45,45,49,50,52,51,49,45,43,41,39,37
Manipur,,,30,25,25,23,20,14,16,14,13,11,12,14,16,14,11,10,10
Meghalaya,,,54,52,56,58,56,61,57,54,49,53,56,58,59,55,52,49,47
Mizoram,,,19,23,19,21,19,14,16,19,20,25,23,37,36,37,34,35,35
Nagaland,,,,,,,,,,17,18,20,21,26,26,23,21,18,18
Sikkim,,,51,52,49,49,42,34,33,32,30,33,34,33,34,30,26,24,22
Tripura,,,51,49,42,41,39,34,32,32,31,36,39,34,31,27,29,28,26
Uttarakhand,,,,,52,50,48,41,41,42,42,43,48,44,41,38,36,34,32
Andaman & Nicobar Islands,,,33,30,25,23,18,15,18,19,27,31,34,31,27,25,23,24,24
Chandigarh,,,40,32,28,28,24,21,19,21,19,23,27,28,25,22,20,20,21
Dadra and Nagar Haveli,,,63,61,56,58,58,56,54,48,42,35,34,34,37,38,35,33,31
Daman and Diu,,,38,51,35,48,40,42,39,37,28,28,27,31,24,23,22,22,20
Lakshadweep,,,36,26,32,27,33,25,26,30,22,25,24,31,25,25,24,24,24
Puducherry,,,22,21,22,23,22,22,24,24,28,28,25,25,22,22,19,17,17
